doi,title,publication year,publication venue,type,issue,volume
10.1155/idog/2006/81629,Is Congenital Syphilis Really Congenital Syphilis?,2006,Infectious Diseases in Obstetrics and Gynecology,journal article,,2006
10.1016/s0031-3955(16)38843-5,Timely Diagnosis of Congenital Infections,1994,Pediatric Clinics of North America,journal article,5,41
10.1155/jammc/2006/79038,Simple Analysis Used in Diagnosis and Follow-up of Schizophrenic Patients,2006,Journal of Automated Methods and Management in Chemistry,journal article,,2006
10.1016/s0021-9673(03)00786-6,Determination of noradrenaline and dopamine in Chinese herbal extracts from Portulaca oleracea L. by high-performance liquid chromatography,2003,Journal of Chromatography A,journal article,1-2,1003
10.1155/2007/46846,Improved Image Fusion in PET/CT Using Hybrid Image Reconstruction and Super-Resolution,2007,International Journal of Biomedical Imaging,journal article,,2007
10.1016/s0887-2171(03)90037-0,PET/CT imaging in recurrent head and neck cancer,2003,"Seminars in Ultrasound, CT and MRI",journal article,3,24
10.1155/2007/54616,Multimodality Imaging of the Peripheral Venous System,2007,International Journal of Biomedical Imaging,journal article,,2007
10.1056/nejm199412153312407,Deep-Vein Thrombosis,1994,New England Journal of Medicine,journal article,24,331
10.1155/jamds/2006/86320,Recent developments in volatility modeling and applications,2006,Journal of Applied Mathematics and Decision Sciences,journal article,,2006
10.1007/bf00053368,A nonlinear time series model and estimation of missing observations,1991,Annals of the Institute of Statistical Mathematics,journal article,3,43
10.1007/978-1-4899-0004-3,Time Series: Theory and Methods,1987,,book,,
10.1155/jamds/2006/58232,Student absenteeism in engineering colleges: Evaluation of alternatives using AHP,2006,Journal of Applied Mathematics and Decision Sciences,journal article,,2006
10.1016/j.tate.2005.03.001,"Reform, standards and teacher identity: Challenges of sustaining commitment",2005,Teaching and Teacher Education,journal article,5,21
10.1155/2009/284689,A Coding of Real Null Four-Momenta into World-Sheet Coordinates,2009,Advances in Mathematical Physics,journal article,,2009
10.1016/0550-3213(73)90223-x,Quantum dynamics of a massless relativistic string,1973,Nuclear Physics B,journal article,1,56
10.1155/2008/434212,CFD Code Validation against Stratified Air-Water Flow Experimental Data,2008,Science and Technology of Nuclear Installations,journal article,,2008
10.13182/nse05-98,NEPTUNE: A New Software Platform for Advanced Nuclear Thermal Hydraulics,2007,Nuclear Science and Engineering,journal article,3,156
10.1615/multscientechn.v11.i2.10,FASTNET: A PROPOSAL FOR A TEN-YEAR EFFORT IN THERMAL-HYDRAULIC RESEARCH,1999,Multiphase Science and Technology,journal article,2,11
10.1155/2008/790964,"Weak Forms of Continuity andcmd=""newline""Associated Properties",2008,International Journal of Mathematics and Mathematical Sciences,journal article,,2008
10.2307/2312781,Semi-Open Sets and Semi-Continuity in Topological Spaces,1963,The American Mathematical Monthly,journal article,1,70
10.1155/2008/367170,The Distribution of the Interval between Events of a Cox Process with Shot Noise Intensity,2008,Journal of Applied Mathematics and Stochastic Analysis,journal article,,2008
10.1016/0167-6687(83)90027-6,The poisson process: Its failure in risk theory,1983,Insurance: Mathematics and Economics,journal article,4,2
10.1155/2009/709813,An Adaptive Systematic Lossy Error Protection Scheme for Broadcast Applications Based on Frequency Filtering and Unequal Picture Protection,2009,International Journal of Digital Multimedia Broadcasting,journal article,,2009
10.1109/tit.1976.1055508,The rate-distortion function for source coding with side information at the decoder,1976,IEEE Transactions on Information Theory,journal article,1,22
10.1155/2008/202179,Time-Frequency Characterization of Rotating Instabilities in a Centrifugal Pump with a Vaned Diffuser,2008,International Journal of Rotating Machinery,journal article,,2008
10.1115/1.3262258,Rotor–Stator Interaction in a Diffuser Pump,1989,Journal of Turbomachinery,journal article,3,111
10.1155/2009/279091,Enhancing E-Health Information Systems with Agent Technology,2009,International Journal of Telemedicine and Applications,journal article,,2009
10.1155/2008/810678,A Novel and One-Pot Synthesis of 6-arylpyrimidin-4-ol,2008,Research Letters in Organic Chemistry,journal article,,2008
10.1021/jo030248h,"A New and Efficient Synthesis of Pyrrolo[2,3-d]pyrimidine Anticancer Agents: Alimta (LY231514, MTA), Homo-Alimta, TNP-351, and Some Aryl 5-Substituted Pyrrolo[2,3-d]pyrimidines",2003,The Journal of Organic Chemistry,journal article,26,68
10.1118/1.3013555,Anniversary Paper: History and status of CAD and quantitative image analysis: The role ofMedical Physicsand AAPM,2008,Medical Physics,journal article,12,35
10.1148/93.2.315,The Influence of Prior Knowledge on Visual Search Strategies During the Viewing of Chest Radioqraphs,1969,Radiology,journal article,2,93
10.1093/ecam/nen075,"The Knowledge, Attitudes and Usage of Complementary and Alternative Medicine of Medical Students",2011,Evidence-Based Complementary and Alternative Medicine,journal article,,2011
10.1097/00001888-200406000-00006,Core Competencies in Integrative Medicine for Medical School Curricula: A Proposal,2004,Academic Medicine,journal article,6,79
10.1155/2008/414830,Thermal Radiation and Buoyancy Effects on Heat and Mass Transfer over a Semi-Infinite Stretching Surface with Suction and Blowing,2008,Journal of Applied Mathematics,journal article,,2008
10.1016/0017-9310(71)90026-3,The nature of vertical natural convection flows resulting from the combined buoyancy effects of thermal and mass diffusion,1971,International Journal of Heat and Mass Transfer,journal article,12,14
10.1155/2008/912478,Identification of a New Splice Variant of the Human ABCC6 Transporter,2008,Research Letters in Biochemistry,journal article,,2008
10.1016/j.febslet.2005.11.079,ABC transporter architecture and regulatory roles of accessory domains,2005,FEBS Letters,journal article,4,580
10.1146/annurev.cb.08.110192.000435,ABC Transporters: From Microorganisms to Man,1992,Annual Review of Cell Biology,journal article,1,8
10.1155/2008/612679,A Picture is Worth a Thousand Keywords: Exploring Mobile Image-Based Web Searching,2008,Advances in Human-Computer Interaction,journal article,,2008
10.1038/scientificamerican0501-34,The Semantic Web,2001,Scientific American,journal article,5,284
10.1155/2009/768743,A Multidisciplinary Investigation to Determine the Structure and Source of Dimeric Impurities in AMG 517 Drug Substance,2009,International Journal of Analytical Chemistry,journal article,,2009
10.1080/10826070701191151,Identification of Pharmaceutical Impurities,2007,Journal of Liquid Chromatography & Related Technologies,journal article,5-7,30
10.1159/000231387,The Role of Amino-Reactive Impurities in Acetylsalicylic Acid Allergy,1975,International Archives of Allergy and Immunology,journal article,1-2,49
10.1093/ecam/nen078,Mediation of Endogenous β-Endorphin in the Plasma Glucose-Lowering Action of Herbal Products Observed in Type 1-Like Diabetic Rats,2011,Evidence-Based Complementary and Alternative Medicine,journal article,,2011
10.1046/j.1464-5491.2003.01065.x,"Diabetes control and complications: the role of glycated haemoglobin, 25 years on",2003,Diabetic Medicine,journal article,7,21
10.1136/bmj.323.7313.625,Complexity science: The challenge of complexity in health care,2001,BMJ,journal article,7313,323
10.1155/2008/719291,The Extended Likeability Framework: A Theoretical Framework for and a Practical Case of Designing Likeable Media Applications for Preschoolers,2008,Advances in Human-Computer Interaction,journal article,,2008
10.1207/s15327590ijhc1304_07,The Effect of Perceived Hedonic Quality on Product Appealingness,2001,International Journal of Human-Computer Interaction,journal article,4,13
10.1145/257089.257338,Working with marketing,1996,,proceedings article,,
10.1155/2008/425895,Breast Cancer Biology: The Multifaceted Roles of Mesenchymal Stem Cells,2008,Journal of Oncology,journal article,,2008
10.1200/jco.2008.16.3931,Implications of the Cancer Stem-Cell Hypothesis for Breast Cancer Prevention and Therapy,2008,Journal of Clinical Oncology,journal article,17,26
10.1155/2008/469725,AGQP-Injective Modules,2008,International Journal of Mathematics and Mathematical Sciences,journal article,,2008
10.1006/jabr.1995.1117,Principally Injective Rings,1995,Journal of Algebra,journal article,1,174
10.1155/2008/843270,Evolving the Convergence of Telecommunication and TV Services over NGN,2008,International Journal of Digital Multimedia Broadcasting,journal article,,2008
10.1155/2008/582435,Elliptic Equations in Weighted Sobolev Spaces on Unbounded Domains,2008,International Journal of Mathematics and Mathematical Sciences,journal article,,2008
10.1007/bf02412185,"Sulle equazioni ellittiche del secondo ordine di tipo non variazionale, a coefficienti discontinui",1963,"Annali di Matematica Pura ed Applicata, Series 4",journal article,1,63
10.1002/cpa.3160120405,Estimates near the boundary for solutions of elliptic partial differential equations satisfying general boundary conditions. I,1959,Communications on Pure and Applied Mathematics,journal article,4,12
10.1002/cpa.3160100202,Multiple layer potentials and the dirichlet problem for higher order elliptic equations in the plane I,1957,Communications on Pure and Applied Mathematics,journal article,2,10
10.1073/pnas.38.3.230,The Dirichlet Problem for Linear Elliptic Equations of Arbitrary Even Order with Variable Coefficients,1952,Proceedings of the National Academy of Sciences,journal article,3,38
10.1155/2008/493508,Tetracycline Effects onCandida AlbicansVirulence Factors,2008,Infectious Diseases in Obstetrics and Gynecology,journal article,,2008
10.1016/s0002-9378(85)80003-x,Epidemiology and pathogenesis of recurrent vulvovaginal candidiasis,1985,American Journal of Obstetrics and Gynecology,journal article,7,152
10.1155/2008/860152,On the Global Asymptotic Stability of a Second-Order System of Difference Equations,2008,Discrete Dynamics in Nature and Society,journal article,,2008
10.1016/j.camwa.2008.02.028,"On the asymptotic stability of <mml:math altimg=""si1.gif"" display=""inline"" overflow=""scroll"" xmlns:xocs=""http://www.elsevier.com/xml/xocs/dtd"" xmlns:xs=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns=""http://www.elsevier.com/xml/ja/dtd"" xmlns:ja=""http://www.elsevier.com/xml/ja/dtd"" xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:tb=""http://www.elsevier.com/xml/common/table/dtd"" xmlns:sb=""http://www.elsevier.com/xml/common/struct-bib/dtd"" xmlns:ce=""http://www.elsevier.com/xml/common/dtd"" xmlns:xlink=""http://www.w3.org/1999/xlink"" xmlns:cals=""http://www.elsevier.com/xml/common/cals/dtd""><mml:msub><mml:mrow><mml:mi>x</mml:mi></mml:mrow><mml:mrow><mml:mi>n</mml:mi><mml:mo>+</mml:mo><mml:mn>1</mml:mn></mml:mrow></mml:msub><mml:mo>=</mml:mo><mml:mrow><mml:mo>(</mml:mo><mml:mi>a</mml:mi><mml:mo>+</mml:mo><mml:msub><mml:mrow><mml:mi>x</mml:mi></mml:mrow><mml:mrow><mml:mi>n</mml:mi></mml:mrow></mml:msub><mml:msub><mml:mrow><mml:mi>x</mml:mi></mml:mrow><mml:mrow><mml:mi>n</mml:mi><mml:mo>−</mml:mo><mml:mi>k</mml:mi></mml:mrow></mml:msub><mml:mo>)</mml:mo></mml:mrow><mml:mo>/</mml:mo><mml:mrow><mml:mo>(</mml:mo><mml:msub><mml:mrow><mml:mi>x</mml:mi></mml:mrow><mml:mrow><mml:mi>n</mml:mi></mml:mrow></mml:msub><mml:mo>+</mml:mo><mml:msub><mml:mrow><mml:mi>x</mml:mi></mml:mrow><mml:mrow><mml:mi>n</mml:mi><mml:mo>−</mml:mo><mml:mi>k</mml:mi></mml:mrow></mml:msub><mml:mo>)</mml:mo></mml:mrow></mml:math>",2008,Computers & Mathematics with Applications,journal article,5,56
10.1155/2008/964046,Enhanced Mechanical Properties in Organofluorosilica Thin Films,2008,Journal of Nanomaterials,journal article,,2008
10.1021/la061520w,ORMOSIL Thin Films: Tuning Mechanical Properties via a Nanochemistry Approach,2006,Langmuir,journal article,26,22
10.1155/2008/908045,Generalized Newman Phenomena and Digit Conjectures on Primes,2008,International Journal of Mathematics and Mathematical Sciences,journal article,,2008
10.4064/aa-13-3-259-265,Sur les nombres qui ont des propriétés additives et multiplicatives données,1968,Acta Arithmetica,journal article,3,13
10.1155/2007/34763,Xanthogranulomatous Endometritis: A Challenging Imitator of Endometrial Carcinoma,2007,Infectious Diseases in Obstetrics and Gynecology,journal article,,2007
10.1111/j.1600-0463.2006.apm_281.x,Lethal outcome in xanthogranulomatous endometritis. Case report,2006,APMIS,journal article,5,114
10.1097/00005792-197903000-00005,Xanthogranulomatous Pyelonephritis (XGP),1979,Medicine,journal article,2,58
10.1155/2008/654987,Adult Head and Neck Soft Tissue Sarcomas: Treatment and Outcome,2008,Sarcoma,journal article,,2008
10.1016/s0002-9610(05)80544-6,Soft tissue sarcomas of the head and neck in adults,1990,The American Journal of Surgery,journal article,4,160
10.1155/2008/828562,Statistical Signal Processing by Using the Higher-Order Correlation between Sound and Vibration and Its Application to Fault Detection of Rotational Machine,2008,Advances in Acoustics and Vibration,journal article,,2008
10.1115/1.3269829,A Vibration Diagnosis Approach to Structural Fault,1989,Journal of Vibration and Acoustics,journal article,1,111
10.1155/2009/832327,Poly(hydridocarbyne) as Highly Processable Insulating Polymer Precursor to Micro/Nanostructures and Graphite Conductors,2009,Journal of Nanomaterials,journal article,,2009
10.1021/ja039254l,Diamond and Diamond-Like Carbon from a Preceramic Polymer,2004,Journal of the American Chemical Society,journal article,10,126
10.1155/2008/316306,Statins Activate Human PPAR Promoter and Increase PPAR mRNA Expression and Activation in HepG2 Cells,2008,PPAR Research,journal article,,2008
10.1073/pnas.96.20.11041,"A proteolytic pathway that controls the cholesterol content of membranes, cells, and blood",1999,Proceedings of the National Academy of Sciences,journal article,20,96
10.1016/0959-440x(93)90072-s,Lipid transmembrane asymmetry and flip-flop in biological membranes and in lipid bilayers,1993,Current Opinion in Structural Biology,journal article,4,3
10.1155/2009/406012,A Novel Intraurethral Device Diagnostic Index to Classify Bladder Outlet Obstruction in Men with Lower Urinary Tract Symptoms,2009,Advances in Urology,journal article,,2009
10.1016/s0022-5347(05)64688-5,Correlations of Urodynamic Changes With Changes in Symptoms and Well-being After Transurethral Resection of the Prostate,2002,Journal of Urology,journal article,2,168
10.1155/2007/62137,The Effect of Gaussian Blurring on the Extraction of Peaks and Pits from Digital Elevation Models,2007,Discrete Dynamics in Nature and Society,journal article,,2007
10.1109/83.217222,Morphological grayscale reconstruction in image analysis: applications and efficient algorithms,1993,IEEE Transactions on Image Processing,journal article,2,2
10.1155/2007/94035,Love and Rayleigh Correction Terms and Padé Approximants,2007,Mathematical Problems in Engineering,journal article,,2007
10.1016/s0022-460x(02)01168-9,On the transversal vibrations of a conveyor belt with a low and time-varying velocity. Part I: the string-like case,2003,Journal of Sound and Vibration,journal article,1,264
10.1155/2007/78454,Accumulation of Oxidized Low-Density Lipoprotein in Psoriatic Skin and Changes of Plasma Lipid Levels in Psoriatic Patients,2007,Mediators of Inflammation,journal article,,2007
10.1016/s0009-8981(00)00358-2,Dislipidemia and oxidative stress in mild and in severe psoriasis as a risk for cardiovascular disease,2001,Clinica Chimica Acta,journal article,1-2,303
10.1155/jnm/2006/76371,Silica-Polystyrene Nanocomposite Particles Synthesized by Nitroxide-Mediated Polymerization and Their Encapsulation through Miniemulsion Polymerization,2006,Journal of Nanomaterials,journal article,,2006
10.1021/ja991108l,Preparation of Structurally Well-Defined Polymer−Nanoparticle Hybrids with Controlled/Living Radical Polymerizations,1999,Journal of the American Chemical Society,journal article,32,121
10.1155/2007/64859,Leptin Levels in Various Manifestations of Pulmonary Tuberculosis,2007,Mediators of Inflammation,journal article,,2007
10.1146/annurev.immunol.19.1.93,IMMUNOLOGY OFTUBERCULOSIS,2001,Annual Review of Immunology,journal article,1,19
10.1155/2009/129075,Combining AI Methods for Learning Bots in a Real-Time Strategy Game,2009,International Journal of Computer Games Technology,journal article,,2009
10.1080/07408178708975376,Solving Quadratic Assignment Problems by ‘Simulated Annealing’,1987,IIE Transactions,journal article,1,19
10.1016/0377-2217(83)90194-7,Locational analysis,1983,European Journal of Operational Research,journal article,3,12
10.1155/2008/640154,A Nonstandard Dynamically Consistent Numerical Scheme Applied to Obesity Dynamics,2008,Journal of Applied Mathematics,journal article,,2008
10.1080/1023619031000146913,A Positivity-preserving Mickens-type Discretization of an Epidemic Model,2003,Journal of Difference Equations and Applications,journal article,11,9
10.1007/bf00178776,Analysis of a disease transmission model in a population with varying size,1990,Journal of Mathematical Biology,journal article,3,28
10.1155/2008/634306,Design of a Mathematical Unit in FPGA for the Implementation of the Control of a Magnetic Levitation System,2008,International Journal of Reconfigurable Computing,journal article,,2008
10.1049/el:20010878,Optimisation of direct digital frequency synthesisers based on CORDIC,2001,Electronics Letters,journal article,21,37
10.1155/2009/624173,Sex Cord-Gonadal Stromal Tumor of the Rete Testis,2009,Advances in Urology,journal article,,2009
10.1038/modpathol.3800314,"Selected other problematic testicular and paratesticular lesions: rete testis neoplasms and pseudotumors, mesothelial lesions and secondary tumors",2005,Modern Pathology,journal article,S2,18
10.1097/00000478-199104000-00003,Adenomatous Hyperplasia of the Rete Testis,1991,The American Journal of Surgical Pathology,journal article,4,15
10.1155/2008/809845,High-Intensity Focused Ultrasound in Small Renal Masses,2008,Advances in Urology,journal article,,2008
10.1016/s0022-5347(05)65640-6,THE CHANGING NATURAL HISTORY OF RENAL CELL CARCINOMA,2001,Journal of Urology,journal article,5,166
10.1155/2008/417870,Performance Evaluation of an Enhanced Uplink 3.5G System for Mobile Healthcare Applications,2008,International Journal of Telemedicine and Applications,journal article,,2008
10.1109/map.2007.371030,m-Health e-Emergency Systems: Current Status and Future Directions - [Wireless corner],2007,IEEE Antennas and Propagation Magazine,journal article,1,49
10.1155/2009/591935,Smallpox and Season: Reanalysis of Historical Data,2009,Interdisciplinary Perspectives on Infectious Diseases,journal article,,2009
10.1155/2008/826974,Precipitation of Hemicelluloses from DMSO/Water Mixtures Using Carbon Dioxide as an Antisolvent,2008,Journal of Nanomaterials,journal article,,2008
10.1007/978-1-4615-5967-2_22,Health Benefits of Non-Digestible Oligosaccharides,1997,Advances in Experimental Medicine and Biology - Dietary Fiber in Health and Disease,book chapter,,
10.1006/fstl.1994.1001,Physiological Effects of Non-Digestible Oligosaccharides,1994,LWT - Food Science and Technology,journal article,1,27
10.1155/2008/701813,Studies on Calcium Ion Selectivity of ZnO Nanowire Sensors Using Ionophore Membrane Coatings,2008,Research Letters in Nanotechnology,journal article,,2008
10.1016/s1369-7021(05)00791-1,Nanowire nanosensors,2005,Materials Today,journal article,4,8
10.1093/ecam/nen081,Suppressive Effect of Juzen-Taiho-To on Lung Metastasis of B16 Melanoma CellsIn Vivo,2011,Evidence-Based Complementary and Alternative Medicine,journal article,,2011
10.1016/s0047-6374(00)00249-9,Immunological restoration and anti-tumor effect by Japanese herbal medicine in aged mice,2001,Mechanisms of Ageing and Development,journal article,3,122
10.1155/2008/897069,Turbo Decoder for Low-Power Ultrawideband Communication Systems,2008,International Journal of Digital Multimedia Broadcasting,journal article,,2008
10.1109/49.661104,Early detection and trellis splicing: reduced-complexity iterative decoding,1998,IEEE Journal on Selected Areas in Communications,journal article,2,16
10.1155/2009/816806,Experimental Observation of Oscillating Wave Propagation on Switch Lines for Generation of Continuous Electromagnetic Waves,2009,Research Letters in Electronics,journal article,,2009
10.1109/tct.1966.1082639,The Switch-Line: A Simple Lumped Transmission Line that can Support Unattenuated Propagation,1966,IEEE Transactions on Circuit Theory,journal article,4,13
10.1155/2008/298010,"Suppressive Effect of Hydroquinone, a Benzene Metabolite, on In Vitro Inflammatory Responses Mediated by Macrophages, Monocytes, and Lymphocytes",2008,Mediators of Inflammation,journal article,,2008
10.1034/j.1398-9995.2000.00124.x,Immune responses during allergic sensitization and the development of atopy,2000,Allergy,journal article,11,55
10.1172/jci114970,Cellular and molecular mechanisms for reduced interleukin 4 and interferon-gamma production by neonatal T cells.,1991,Journal of Clinical Investigation,journal article,1,87
10.1155/2008/593042,Extra-High-Voltage DC-DC Boost Converters Topology with Simple Control Strategy,2008,Modelling and Simulation in Engineering,journal article,,2008
10.1155/2007/43018,Multiple Positive Solutions of Nonhomogeneous Elliptic Equations in Unbounded Domains,2007,Abstract and Applied Analysis,journal article,,2007
10.1016/0362-546x(94)e0071-n,Eigenvalue problems and bifurcation of semilinear elliptic equation in N,1995,"Nonlinear Analysis: Theory, Methods & Applications",journal article,4,24
10.1155/2007/90631,Analysis of Rotor-to-Stator Rub in a Large Steam Turbogenerator,2007,International Journal of Rotating Machinery,journal article,,2007
10.1115/1.3254710,Spiral Vibrations Due to the Seal Rings in Turbogenerators Thermally Induced Interaction Between Rotor and Stator,1980,Journal of Mechanical Design,journal article,1,102
10.1155/2007/43834,AnLp-Lq-Version of Morgan's Theorem for then-Dimensional Euclidean Motion Group,2007,International Journal of Mathematics and Mathematical Sciences,journal article,,2007
10.1017/s1446788700035886,Uncertainty principles like Hardy's theorem on some Lie groups,1998,Journal of the Australian Mathematical Society. Series A. Pure Mathematics and Statistics,journal article,3,65
10.2140/pjm.1997.177.187,An analogue of Hardy’s theorem for very rapidly decreasing functions on semi-simple Lie groups,1997,Pacific Journal of Mathematics,journal article,1,177
10.1155/2007/58658,On the Existence of Positive Solutions of a Nonlinear Differential Equation,2007,International Journal of Mathematics and Mathematical Sciences,journal article,,2007
10.1006/jmaa.1999.6597,Twin Solutions to Singular Dirichlet Problems,1999,Journal of Mathematical Analysis and Applications,journal article,2,240
10.1155/2007/36497,"Co(III) and Ni(II) Complexes Containing Bioactive Ligands: Synthesis, DNA Binding, and Photocleavage Studies",2007,Bioinorganic Chemistry and Applications,journal article,,2007
10.1002/anie.199727141,Charge Transfer through the DNA Base Stack,1997,Angewandte Chemie International Edition in English,journal article,24,36
10.1155/2007/90752,Silver Modified Degussa P25 for the Photocatalytic Removal of Nitric Oxide,2007,International Journal of Photoenergy,journal article,,2007
10.1016/j.apcatb.2005.07.014,Photocatalytic decomposition and reduction reactions of nitric oxide over Degussa P25,2006,Applied Catalysis B: Environmental,journal article,3-4,62
10.1155/2007/49535,Using Sequential Injection Analysis to Improve System and Data Reliability of Online Methods: Determination of Ammonium and Phosphate in Coastal Waters,2007,Journal of Automated Methods and Management in Chemistry,journal article,,2007
10.1016/s0003-2670(97)00366-8,Assessment of heat treatment for nutrient preservation in seawater samples,1997,Analytica Chimica Acta,journal article,1-3,351
10.1155/2007/18709,Adaptive Bayesian Iterative Transmission Reconstruction for Attenuation Correction in Myocardial Perfusion Imaging with SPECT/Slow-Rotation Low-Output CT Systems,2007,International Journal of Biomedical Imaging,journal article,,2007
10.1161/01.cir.99.21.2742,Multicenter Clinical Trial to Evaluate the Efficacy of Correction for Photon Attenuation and Scatter in SPECT Myocardial Perfusion Imaging,1999,Circulation,journal article,21,99
10.1109/tns.1978.4329385,A Method for Attenuation Correction in Radionuclide Computed Tomography,1978,IEEE Transactions on Nuclear Science,journal article,1,25
10.1155/2007/67187,Angiogenic Factor Expression in Hepatic Cirrhosis,2007,Mediators of Inflammation,journal article,,2007
10.1053/jhep.2002.32524,Hypoxia-induced VEGF and collagen I expressions are associated with angiogenesis and fibrogenesis in experimental cirrhosis,2002,Hepatology,journal article,5,35
10.1007/bf00695054,The scarring of the liver acini (Cirrhosis),1983,Virchows Archiv A Pathological Anatomy and Histopathology,journal article,2,402
10.1001/jama.1939.02800050001001,THE ETIOLOGY AND PATHOGENESIS OF ALCOHOLIC CIRRHOSIS OF THE LIVER,1939,Journal of the American Medical Association,journal article,5,112
10.1155/2007/65704,Plasma Levels of Tumor Necrosis Factor-Alpha and Interleukin-6 in Obsessive Compulsive Disorder,2007,Mediators of Inflammation,journal article,,2007
10.1016/s0024-3205(97)00990-9,"Depression, stress and immunological activation: The role of cytokines in depressive disorders",1998,Life Sciences,journal article,7,62
10.1155/2007/89464,A Discrete Two-Sector Economic Growth Model,2007,Discrete Dynamics in Nature and Society,journal article,,2007
10.2307/2296180,On a Two-Sector Model of Economic Growth,1961,The Review of Economic Studies,journal article,1,29
10.1155/2008/327346,Chronic Brucellosis Patients Retain Low Frequency of CD4+ T-Lymphocytes Expressing CD25 and CD28 afterEscherichia coliLPS Stimulation of PHA-Cultured PBMCs,2008,Clinical and Developmental Immunology,journal article,,2008
10.1056/nejmra050570,Brucellosis,2005,New England Journal of Medicine,journal article,22,352
10.1155/2009/301284,A Review of the “Open” and “Closed” Circulatory Systems: New Terminology for Complex Invertebrate Circulatory Systems in Light of Current Findings,2009,International Journal of Zoology,journal article,,2009
10.1002/jez.1402490205,Oxygen binding of single red blood cells of the annelid bloodwormGlycera dibranchiata,1989,Journal of Experimental Zoology,journal article,2,249
10.1016/0300-9629(84)90528-0,"Hemoglobin-containing cells of Neodasys (gastrotricha, chaetonotida)—II. Respiratory significance",1984,Comparative Biochemistry and Physiology Part A: Physiology,journal article,3,79
10.1155/2008/150874,Initial Investigation of Using Planar Interdigital Sensors for Assessment of Quality in Seafood,2008,Journal of Sensors,journal article,,2008
10.1289/ehp.00108s1133,"Marine algal toxins: origins, health effects, and their increased occurrence.",2000,Environmental Health Perspectives,journal article,suppl 1,108
10.1577/1548-8667(1999)011<0199:tpront>2.0.co;2,The Potential Role of Natural Tumor Promoters in Marine Turtle Fibropapillomatosis,1999,Journal of Aquatic Animal Health,journal article,3,11
10.1016/0025-326x(94)90547-9,Organic contaminants and trace metals in the tissues of green turtles (Chelonia mydas) afflicted with fibropapillomas in the Hawaiian islands,1994,Marine Pollution Bulletin,journal article,2,28
10.1155/2008/250654,Live Broadcasting of High Definition Audiovisual Content Using HDTV over Broadband IP Networks,2008,International Journal of Digital Multimedia Broadcasting,journal article,,2008
10.1109/mnet.2007.334309,Requirements for an IMS-based Quadruple Play Service Architecture,2007,IEEE Network,journal article,2,21
10.1155/2009/986873,"The Efficiency of Operating Microscope Compared with Unaided Visual Examination, Conventional and Digital Intraoral Radiography for Proximal Caries Detection",2009,International Journal of Dentistry,journal article,,2009
10.1159/000016454,"Reliability of Visual Examination, Fibre-Optic Transillumination, and Bite-Wing Radiography, and Reproducibility of Direct Visual Examination Following Tooth Separation for the Identification of Cavitated Carious Lesions in Contacting Approximal Surfaces",1998,Caries Research,journal article,3,32
10.1155/2009/302696,"Analytical Applications of Reactions of Iron(III) and Hexacyanoferrate(III) with 2,10-Disubstituted Phenothiazines",2009,International Journal of Analytical Chemistry,journal article,,2009
10.2116/analsci.12.161,Analytical Properties of 2- and 10-Disubstituted Phenothiazine Derivatives.,1996,Analytical Sciences,journal article,2,12
10.2143/itl.156.0.2034439,The Effect of Direct and Indirect Corrective Feedback on L2 Learners’ Written Accuracy,2008,ITL - International Journal of Applied Linguistics - Learning and Teaching L2 Writing,journal article,,156
10.1191/1362168803lr127oa,"L2 output, reformulation and noticing: implications for IL development",2003,Language Teaching Research,journal article,3,7
10.1155/2009/705780,Wing Color of Monarch Butterflies (Danaus plexippus) in Eastern North America across Life Stages: Migrants Are “Redder” than Breeding and Overwintering Stages,2009,Psyche: A Journal of Entomology,journal article,,2009
10.1007/bf00994224,"Plant-determined variation in the cardenolide content, thin-layer chromatography profiles, and emetic potency of monarch butterflies,Danaus plexippus L. Reared on milkweed plants in California: 2.Asclepias speciosa",1984,Journal of Chemical Ecology,journal article,4,10
10.1007/bf02157924,Uzarigenin and desglucouzarin fromAsclepias syriaca L,1961,Experientia,journal article,1,17
10.1007/bf00684328,Über die herzwirksamen Inhaltsstoffe in Asclepias syriaca L.,1959,Die Naturwissenschaften,journal article,14,46
10.1002/cber.19550880417,Die papierchromatographische Trennung von Herzgiftglykosiden,1955,Chemische Berichte,journal article,4,88
10.1002/cber.19530861002,"Über pflanzliche Herzgifte, XXIV. Mitteil.: Die quantitative Trennung und Identifizierung von Herzgiftglykosiden ausDigitalis purpurea undlanata durch “echte Verteilungschromatographie an Papier”",1953,Chemische Berichte,journal article,10,86
10.1021/ja01150a548,RESOLUTION INTO OPTICAL ISOMERS OF SOME AMINO ACIDS BY PAPER CHROMATOGRAPHY,1951,Journal of the American Chemical Society,journal article,6,73
10.1155/2008/273296,Off-Design Considerations through the Properties of Some Pressure-Ratio Line of Radial Inflow Turbines,2008,International Journal of Rotating Machinery,journal article,,2008
10.1115/1.1574824,A Unified Approach for Designing a Radial Flow Gas Turbine,2003,Journal of Turbomachinery,journal article,3,125
10.1115/76-gt-100,A Unified Approach to the One-Dimensional Analysis and Design of Radial and Mixed Flow Turbines,1976,,proceedings article,,
